CODE_IRIS;LIB_IRIS;TYP_IRIS;MODIF_IRIS;GRD_QUART;DEPCOM;LIBCOM;UU2010;REG;DEP
221060101;Centre Ville Sud;H;0;2210601;22106;Langueux;22501;53;22
221060102;Centre Ville Nord;H;0;2210601;22106;Langueux;22501;53;22
221060103;ZAC;A;0;2210601;22106;Langueux;22501;53;22
221060104;Habitat Dispersé;H;0;2210601;22106;Langueux;22501;53;22
221870101;Centre Ville 1;H;0;2218701;22187;Plérin;22501;53;22
221870102;Centre Ville 2;H;0;2218701;22187;Plérin;22501;53;22
221870103;Le Sépulcre;D;0;2218701;22187;Plérin;22501;53;22
221870104;Le Légué;H;0;2218701;22187;Plérin;22501;53;22
221870105;Saint-Laurent-Sous la Tour;H;0;2218701;22187;Plérin;22501;53;22
221870106;Saint-Éloi-Les Rosaires;H;0;2218701;22187;Plérin;22501;53;22
221880000;Plerneuf (commune non irisée);Z;0;2218800;22188;Plerneuf;22501;53;22
222150101;Saint-Hervé (Les Châtelets);H;0;2221501;22215;Ploufragan;22501;53;22
222150102;Carpont;H;0;2221501;22215;Ploufragan;22501;53;22
222150103;Centre Ville Ouest;H;0;2221501;22215;Ploufragan;22501;53;22
222150104;Z.I. Châtelets-Z.A. Sabot-Zoopole;A;0;2221501;22215;Ploufragan;22501;53;22
222150105;Brézillet-Les Villes Moisan;H;0;2221501;22215;Ploufragan;22501;53;22
222780101;Les Villages;D;0;2227801;22278;Saint-Brieuc;22501;53;22
222780102;La Ville Jouha-Hellio;H;0;2227801;22278;Saint-Brieuc;22501;53;22
222780103;Le Point du Jour;H;0;2227801;22278;Saint-Brieuc;22501;53;22
222780104;Le Tertre Notre-Dame;H;0;2227801;22278;Saint-Brieuc;22501;53;22
222780105;La Tour d'Auvergne;H;0;2227801;22278;Saint-Brieuc;22501;53;22
222780106;Robien;H;0;2227801;22278;Saint-Brieuc;22501;53;22
222780107;Charner;H;0;2227801;22278;Saint-Brieuc;22501;53;22
222780108;Centre Ville;H;0;2227801;22278;Saint-Brieuc;22501;53;22
222780109;Saint-Michel Ouest;H;0;2227801;22278;Saint-Brieuc;22501;53;22
222780110;Saint-Michel Est;H;0;2227801;22278;Saint-Brieuc;22501;53;22
222780111;Le Légué;A;0;2227801;22278;Saint-Brieuc;22501;53;22
222780112;Le Plateau;H;0;2227801;22278;Saint-Brieuc;22501;53;22
222780113;Sainte-Thérèse;H;0;2227801;22278;Saint-Brieuc;22501;53;22
222780114;Beauvallon;H;0;2227801;22278;Saint-Brieuc;22501;53;22
222780115;La Croix Lambert;H;0;2227801;22278;Saint-Brieuc;22501;53;22
222780116;La Ville Oger;H;0;2227801;22278;Saint-Brieuc;22501;53;22
222780117;Zone Industrielle;A;0;2227801;22278;Saint-Brieuc;22501;53;22
222780118;Ginglin;H;0;2227801;22278;Saint-Brieuc;22501;53;22
222780119;L'Europe;H;0;2227801;22278;Saint-Brieuc;22501;53;22
222780120;Cesson;H;0;2227801;22278;Saint-Brieuc;22501;53;22
223600101;Centre Ville 1;H;0;2236001;22360;Trégueux;22501;53;22
223600102;Centre Ville 2;H;0;2236001;22360;Trégueux;22501;53;22
223600103;Rural et Espace Activités Hazaie;H;0;2236001;22360;Trégueux;22501;53;22
223720000;Trémuson (commune non irisée);Z;0;2237200;22372;Trémuson;22501;53;22
223890000;Yffiniac (commune non irisée);Z;0;2238900;22389;Yffiniac;22501;53;22